2025-02-28T00:41:33.304+09:00  INFO 10592 --- [Jusangbokhap] [main] j.Jusangbokhap.JusangbokhapApplication   : Starting JusangbokhapApplication using Java 17.0.13 with PID 10592 (C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main started by pge07 in C:\Users\pge07\Desktop\Jusangbokhap-airbnb)
2025-02-28T00:41:33.317+09:00  INFO 10592 --- [Jusangbokhap] [main] j.Jusangbokhap.JusangbokhapApplication   : The following 1 profile is active: "prod"
2025-02-28T00:41:33.319+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.boot.SpringApplication               : Loading source class jsbh.Jusangbokhap.JusangbokhapApplication
2025-02-28T00:41:33.639+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\availableDate\controller\AvailableDateController.class]
2025-02-28T00:41:33.645+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\availableDate\exception\AvailableDateExceptionHandler.class]
2025-02-28T00:41:33.647+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\availableDate\service\AvailableDateService.class]
2025-02-28T00:41:33.649+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\chat\ChatController.class]
2025-02-28T00:41:33.651+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\chat\ChatWebSocketHandler.class]
2025-02-28T00:41:33.655+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\chat\service\ChatMessageService.class]
2025-02-28T00:41:33.656+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\chat\service\ChatRoomService.class]
2025-02-28T00:41:33.656+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\facility\controller\FacilityController.class]
2025-02-28T00:41:33.661+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\facility\service\FacilityService.class]
2025-02-28T00:41:33.663+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\payment\controller\PaymentController.class]
2025-02-28T00:41:33.679+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\payment\service\KakaoPayService.class]
2025-02-28T00:41:33.681+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\receipt\controller\ReceiptController.class]
2025-02-28T00:41:33.687+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\receipt\service\KakaoPayOrderService.class]
2025-02-28T00:41:33.688+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\receipt\service\ReceiptService.class]
2025-02-28T00:41:33.689+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\reservation\controller\ReservationController.class]
2025-02-28T00:41:33.692+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\reservation\exception\ReservationExceptionHandler.class]
2025-02-28T00:41:33.694+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\reservation\service\ReservationService.class]
2025-02-28T00:41:33.702+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\search\scheduler\KeywordRankingScheduler.class]
2025-02-28T00:41:33.703+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\search\service\SearchKeywordRedisService.class]
2025-02-28T00:41:33.704+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\api\search\service\SearchKeywordService.class]
2025-02-28T00:41:33.711+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\config\ElasticSearchConfig.class]
2025-02-28T00:41:33.713+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\config\KakaoPayProperties.class]
2025-02-28T00:41:33.714+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\config\MongoDbInitializer.class]
2025-02-28T00:41:33.715+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\config\ObjectMapperConfig.class]
2025-02-28T00:41:33.724+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\config\RedisConfig.class]
2025-02-28T00:41:33.725+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\config\RestTemplateConfig.class]
2025-02-28T00:41:33.726+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\config\SecurityConfig.class]
2025-02-28T00:41:33.728+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\config\SwaggerConfig.class]
2025-02-28T00:41:33.729+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\config\WebClientConfig.class]
2025-02-28T00:41:33.731+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\config\WebSocketConfig.class]
2025-02-28T00:41:33.732+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\exception\CustomExceptionHandler.class]
2025-02-28T00:41:33.734+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\common\exception\GlobalExceptionHandler.class]
2025-02-28T00:41:33.741+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\accommodation\repository\AccommodationRepository.class]
2025-02-28T00:41:33.750+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\availableDate\repository\AvailableDateRepository.class]
2025-02-28T00:41:33.767+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\facility\repository\FacilityRepository.class]
2025-02-28T00:41:33.769+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\payment\PaymentRepository.class]
2025-02-28T00:41:33.774+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\reservation\ReservationRepository.class]
2025-02-28T00:41:33.777+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\search\controller\SearchKeywordController.class]
2025-02-28T00:41:33.792+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\search\repository\SearchRedisRepository.class]
2025-02-28T00:41:33.793+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\user\repository\UserRepository.class]
2025-02-28T00:41:34.679+09:00  INFO 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-28T00:41:34.679+09:00  INFO 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-02-28T00:41:34.699+09:00 DEBUG 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for Redis repositories in packages jsbh.Jusangbokhap.common.config.
2025-02-28T00:41:34.706+09:00  INFO 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2025-02-28T00:41:35.389+09:00  INFO 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-28T00:41:35.390+09:00  INFO 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2025-02-28T00:41:35.391+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2025-02-28T00:41:35.398+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'jsbh.Jusangbokhap'. Automatic @Repository and @Entity scanning is enabled.
2025-02-28T00:41:35.398+09:00 DEBUG 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for Elasticsearch repositories in packages jsbh.Jusangbokhap.
2025-02-28T00:41:35.430+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\chat\repository\jpa\ChatRoomRepository.class]
2025-02-28T00:41:35.431+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\chat\repository\mongodb\ChatMessageRepository.class]
2025-02-28T00:41:35.431+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\payment\PaymentRepository.class]
2025-02-28T00:41:35.431+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\receipt\ReceiptRepository.class]
2025-02-28T00:41:35.432+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\reservation\ReservationRepository.class]
2025-02-28T00:41:35.432+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\user\repository\UserRepository.class]
2025-02-28T00:41:35.449+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.chat.repository.jpa.ChatRoomRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
2025-02-28T00:41:35.452+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.chat.repository.mongodb.ChatMessageRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
2025-02-28T00:41:35.454+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.payment.PaymentRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
2025-02-28T00:41:35.456+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.receipt.ReceiptRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
2025-02-28T00:41:35.458+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.reservation.ReservationRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
2025-02-28T00:41:35.461+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.user.repository.UserRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
2025-02-28T00:41:35.461+09:00  INFO 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 62 ms. Found 0 Elasticsearch repository interfaces.
2025-02-28T00:41:35.465+09:00  INFO 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-28T00:41:35.466+09:00  INFO 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2025-02-28T00:41:35.468+09:00 DEBUG 10592 --- [Jusangbokhap] [main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for Reactive Elasticsearch repositories in packages jsbh.Jusangbokhap.
2025-02-28T00:41:35.492+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\chat\repository\jpa\ChatRoomRepository.class]
2025-02-28T00:41:35.492+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\chat\repository\mongodb\ChatMessageRepository.class]
2025-02-28T00:41:35.492+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\payment\PaymentRepository.class]
2025-02-28T00:41:35.493+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\receipt\ReceiptRepository.class]
2025-02-28T00:41:35.493+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\reservation\ReservationRepository.class]
2025-02-28T00:41:35.493+09:00 DEBUG 10592 --- [Jusangbokhap] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\pge07\Desktop\Jusangbokhap-airbnb\build\classes\java\main\jsbh\Jusangbokhap\domain\user\repository\UserRepository.class]
2025-02-28T00:41:35.493+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.chat.repository.jpa.ChatRoomRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
2025-02-28T00:41:35.493+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.chat.repository.mongodb.ChatMessageRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
2025-02-28T00:41:35.493+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.payment.PaymentRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
2025-02-28T00:41:35.494+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.receipt.ReceiptRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
2025-02-28T00:41:35.494+09:00  INFO 10592 --- [Jusangbokhap] [main] .RepositoryConfigurationExtensionSupport : Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface jsbh.Jusangbokhap.domain.reservation.ReservationRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
